"","V1","Stolen From","Type","ZIP","Offense","Make","Caliber","Address","Date","Status"
"7527","10","BAR/NIGHT CLUB","REVOLVER","77009","AGGRAVATED ASSAULT (D. W.)/BY CUTTING INSTRUMENT","COLT","357","1402 QUITMAN  ,houston ,Texas ,77009","1/22/2009","S"
"7528","1","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77061","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","7383 BRACE  ST,houston ,Texas ,77061","5/10/2012","S"
"7529","2","APARTMENT","PISTOL, SEMIAUTOMATIC","77093","INVESTIGATION (BURGLARY AND THEFT)","SMITH & WESSON","22","2450 ALDINE WESTFIELD  RD,houston ,Texas ,77093","4/8/2012","S"
"7530","3","APARTMENT PARKING LOT","RIFLE, SEMIAUTOMATIC","77079","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","RUGER","22 CAL","15200 MEMORIAL  DR,houston ,Texas ,77079","6/20/2009","S"
"7531","4","CONDOMINIUM","PISTOL, REVOLVER","77036","BURGLARY HABITATION","SMITH & WESSON","357 CAL","7882 KENDALIA  DR,houston ,Texas ,77036","8/12/2012","S"
"7532","5","UNKNOWN","PISTOL, SEMIAUTOMATIC","77056","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","SIG SAUER","380 CAL","5071 CEDAR CREEK  DR,houston ,Texas ,77056","4/2/2012","S"
"7533","6","RESIDENCE/HOUSE","SHOTGUN, SEMIAUTOMATIC","77008","BURGLARY HABITATION","REMINGTON ARMS CO INC","20 GAUGE","1728 23RD W ST,houston ,Texas ,77008","9/18/2009","S"
"7534","7","CONDOMINIUM","AMMUNITION","77019","BURGLARY HABITATION","UNKNOWN","0.223","1712 WEBSTER W ST,houston ,Texas ,77019","8/26/2010","S"
"7535","8","RESIDENCE/HOUSE","PISTOL, REVOLVER","77096","BURGLARY HABITATION","TAURUS",".45LC/.410","5258 BIRDWOOD  RD,houston ,Texas ,77096","12/21/2008","S"
"7536","9","OFFICE BUILDING PARKING L","PISTOL, SEMIAUTOMATIC","77042","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","TAURUS","380 CAL","3200 WILCREST  DR,houston ,Texas ,77042","11/19/2010","S"
"7537","10","APARTMENT","SHOTGUN, PUMP ACTION","77067","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","1351 GREENS  PKWY,houston ,Texas ,77067","10/1/2009","S"
"7538","1","DRIVEWAY","PISTOL, SEMIAUTOMATIC","77053","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","SMITH & WESSON","40 CAL","5011 BOONRIDGE  CT,houston ,Texas ,77053","8/30/2009","S"
"7539","2","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77547","BURGLARY HABITATION","UNKNOWN","223","401 CROWN  ST,houston ,Texas ,77547","7/26/2008","S"
"7540","3","RESIDENCE/HOUSE","RIFLE, SEMIAUTOMATIC","77489","BURGLARY HABITATION","REMINGTON ARMS CO INC","30-30 CAL","6443 FUQUA W ST,houston ,Texas ,77489","7/1/2010","S"
"7541","4","RESIDENCE/HOUSE","SHOTGUN, BOLT ACTION","77016","BURGLARY HABITATION","UNKNOWN","410 GAUGE","10325 ONSLOW  ,houston ,Texas ,77016","4/3/2008","S"
"7542","5","RESIDENCE","38/REVOLVER","77016","BURGLARY HABITATION","SPECIAL","","9111 LANEWOOD  ,houston ,Texas ,77016","5/5/2010","S"
"7543","6","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77082","THEFT/(MISD A)","SPRINGFIELD FIREARMS","45 CAL","14915 RICHMOND  AVE,houston ,Texas ,77082","4/15/2011","S"
"7544","7","FACTORY/MANUFACTURING/IND","SHOTGUN, SINGLE-SHOT","77093","THEFT (CARGO)/(FEL STATE JAIL)","MOSSBERG O F, & SONS","12 GAUGE","9600 ALDINE WESTFIELD  RD,houston ,Texas ,77093","2/27/2009","S"
"7545","8","RESIDENCE/HOUSE",".35 REMINGTON RIFLE","77043","BURGLARY HABITATION","MARLIN (J C HIGGINS)","","10922 RIDGEVIEW  ,houston ,Texas ,77043","1/23/2009","S"
"7546","9","RESIDENCE/HOUSE","RIFLE, SINGLE-SHOT","77004","BURGLARY HABITATION","UNKNOWN","22 CAL","1408 TUAM  ,houston ,Texas ,77004","1/4/2011","S"
"7547","10","RESIDENCE/HOUSE","PISTOL, REVOLVER","77047","BURGLARY HABITATION","VIRGINIAN DRAGOON","44 CAL","3927 KILKENNY  DR,houston ,Texas ,77047","12/17/2008","C"
"7548","1","RESIDENCE/HOUSE","BB- AIR GUN - CO2","77016","BURGLARY BUILDING","CROSMAN ARM CO","UNKNOWN","7207 BONITA  ST,houston ,Texas ,77016","11/21/2008","S"
"7549","2","BAR/NIGHT CLUB PARKING LO","AR-15","77002","THEFT (AUTO)/(FEL STATE JAIL)","PANTHER ARMS","UNKNOWN","2100 SMITH  ,houston ,Texas ,77002","10/31/2008","C"
"7550","3","RESIDENCE/HOUSE","SHOTGUN, DOUBLE BARREL","77009","AGGRAVATED ASSAULT (S.B.I. BY BODILY FORCE)(PG)(JUV)","","","4112 ROBERTSON  ,houston ,Texas ,77009","11/24/2011","G"
"7551","4","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77060","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","RADOM","9 MILL","2 NORTHPOINT  DR,houston ,Texas ,77060","7/10/2008","S"
"7552","5","APARTMENT","RIFLE","77035","BURGLARY BUILDING","","","6255 AIRPORT W BLVD,houston ,Texas ,77035","6/26/2008","S"
"7553","6","APARTMENT","AMMUNITION","77042","BURGLARY HABITATION","UNKNOWN","40","10550 VALLEY FORGE  ,houston ,Texas ,77042","6/15/2010","S"
"7554","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77055","BURGLARY BUILDING","COLT","380 CAL","1207 ANTOINE  DR,houston ,Texas ,77055","5/29/2009","S"
"7555","8","CITY STREET","PISTOL, SEMIAUTOMATIC","77034","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","BERETTA","9 MILL","10735 MARIGOLD GLEN  WAY,houston ,Texas ,77034","11/2/2011","S"
"7556","9","APARTMENT","PISTOL, SEMIAUTOMATIC","77008","BURGLARY HABITATION","UNKNOWN","9 MILL","1700 SEASPRAY  CT,houston ,Texas ,77008","9/21/2010","S"
"7557","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77005","BURGLARY HABITATION","H&K","45 CAL","2250 ROBINHOOD  ,houston ,Texas ,77005","9/29/2011","S"
"7558","1","RESIDENCE/HOUSE","","77053","THEFT/(MISD B)","RUGER","9","6527 MARINWOOD  DR,houston ,Texas ,77053","8/13/2008","S"
"7559","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77045","BURGLARY HABITATION","UNKNOWN","25 CAL","13414 BOONWAY  DR,houston ,Texas ,77045","7/26/2009","S"
"7560","3","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77003","BURGLARY HABITATION","UNKNOWN","30-30 CAL","1610 HUSSION  ,houston ,Texas ,77003","3/4/2010","S"
"7561","4","RESIDENCE/HOUSE","AMMUNITION","77099","BURGLARY HABITATION","UNKNOWN","9","10523 HUNTINGTON PLACE  DR,houston ,Texas ,77099","2/15/2010","S"
"7562","5","DRIVEWAY","PISTOL, SEMIAUTOMATIC","77429","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","BERETTA","9 MILL","16431 DARBY HOUSE  ,houston ,Texas ,77429","8/15/2011","S"
"7563","6","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77477","BURGLARY HABITATION","HIMINEZ","9 MILL","11553 KIRKWOOD S DR,houston ,Texas ,77477","1/15/2009","S"
"7564","7","APARTMENT","PISTOL, SEMIAUTOMATIC","77042","ASSAULT (THREAT)","TAURUS","9 MILL","1515 SANDY SPRINGS  RD,houston ,Texas ,77042","1/2/2008","S"
"7565","8","APARTMENT","PISTOL, SEMIAUTOMATIC","77074","BURGLARY HABITATION","RUGER","9 MILL","9109 FONDREN  RD,houston ,Texas ,77074","6/1/2011","S"
"7566","9","RESIDENCE/HOUSE","PISTOL, REVOLVER","77009","BURGLARY HABITATION","RG INDUSTRIES","38 CAL","5101 HARDY  ,houston ,Texas ,77009","5/18/2012","S"
"7567","10","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77079","THEFT (AUTO CAR NOT TRUCK)/(FEL 3RD DEG)","GLOCK","40 CAL","14355 MISTY MEADOW  LN,houston ,Texas ,77079","5/3/2012","S"
"7568","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77006","BURGLARY HABITATION","GLOCK","9 MILL","515 RICHMOND  AVE,houston ,Texas ,77006","4/15/2011","S"
"7569","2","HOTEL/MOTEL PARKING LOT","RIFLE, AUTOMATIC","77079","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","TOWNCEN CENTER","7 MILL","1000 HWY 6 N ,houston ,Texas ,77079","3/19/2008","S"
"7570","3","CONDOMINIUM","PISTOL, SEMIAUTOMATIC","77072","BURGLARY BUILDING","BERETTA","25 CAL","6694 WESTWICK  DR,houston ,Texas ,77072","11/7/2008","S"
"7571","4","COMMERCIAL PARKING LOT/GA","MAGAZINES","77008","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","GLOCK","","1919 NORTH LP W  ,houston ,Texas ,77008","10/6/2009","S"
"7572","5","RESIDENCE/HOUSE","AMMUNITION","77062","THEFT","","12","15519 DIANA  LN,houston ,Texas ,77062","6/15/2009","S"
"7573","6","PAY PARKING LOT","STUN GUN","77002","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","UNKNOWN","","701 SAN JACINTO N ST,houston ,Texas ,77002","2/3/2010","S"
"7574","7","LAUNDRY/DRY CLEANERS PARK","MAGAZINE CLIP","77020","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","UNKNOWN","","7029 LYONS  ,houston ,Texas ,77020","1/6/2009","S"
"7575","8","RESTAURANT/CAFETERIA","PISTOL","77027","THEFT","MAKAROV","0.9","4730 RICHMOND  AVE,houston ,Texas ,77027","5/7/2010","S"
"7576","9","APARTMENT","SHOTGUN, PUMP ACTION","77060","BURGLARY HABITATION","REMINGTON ARMS CO INC","12 GAUGE","770 GREENS  RD,houston ,Texas ,77060","4/21/2012","S"
"7577","10","RESIDENCE/HOUSE","RIFLE, SINGLE-SHOT","77026","BURGLARY BUILDING","UNKNOWN","22 CAL","2901 CLEMENTINE  ,houston ,Texas ,77026","7/1/2009","S"
"7578","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77053","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","SMITH & WESSON","40 CAL","4907 CALLERY CREEK  DR,houston ,Texas ,77053","6/30/2012","S"
"7579","2","APARTMENT","PISTOL, REVOLVER","77055","BURGLARY HABITATION","COLT","38 CAL","1323 WITTE  RD,houston ,Texas ,77055","7/7/2010","S"
"7580","3","CONVENIENCE STORE","PISTOL, FULLY AUTOMATIC","77082","LOST OR STOLEN","GLOCK","9 MILL","3822 DAIRY ASHFORD S ,houston ,Texas ,77082","10/22/2009","S"
"7581","4","RESIDENCE","RIFLE","77006","BURGLARY (RESIDENCE)","ROCK RIVER","","1307 BANKS  ST,houston ,Texas ,77006","8/31/2011","S"
"7582","5","APARTMENT","PISTOL, SEMIAUTOMATIC","77087","BURGLARY HABITATION","UNKNOWN","380 CAL","7527 WESTOVER  ,houston ,Texas ,77087","12/2/2009","S"
"7583","6","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77089","BURGLARY HABITATION","KELTEK","9 MILL","12102 RYEWATER  DR,houston ,Texas ,77089","9/9/2008","S"
"7584","7","RESIDENCE/HOUSE","REVOLER","77061","BURGLARY HABITATION","TAURUS/GUN","38","7503 GLENVISTA  ST,houston ,Texas ,77061","1/11/2011","S"
"7585","8","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77034","BURGLARY HABITATION","MOSSBERG O F, & SONS","12 GAUGE","10810 HARTSOOK  ,houston ,Texas ,77034","2/13/2012","S"
"7586","9","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77042","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","GLOCK","9 MILL","10440 DEERWOOD  RD,houston ,Texas ,77042","3/11/2009","S"
"7587","10","RESIDENCE/HOUSE","RIFLE, CARBINE","77011","THEFT/LOSS $200.00 OR MORE - F","UNKNOWN","AK-47","6609 AVE Q  ,houston ,Texas ,77011","9/1/2009","S"
"7588","1","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77028","BURGLARY HABITATION","RUGER","12 GAUGE","7505 SUNDOWN  DR,houston ,Texas ,77028","6/2/2008","S"
"7589","2","RESIDENCE/HOUSE","","77076","BURGLARY HABITATION","RUGER","9","143 TALLANT  ,houston ,Texas ,77076","9/4/2009","S"
"7590","3","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77083","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","UNKNOWN","0.38","13322 HIGH STAR  DR,houston ,Texas ,77083","8/2/2010","S"
"7591","4","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77459","BURGLARY HABITATION","LUGER","45 CAL","7414 BRIARGATE  CT,houston ,Texas ,77459","1/3/2010","S"
"7592","5","RESIDENCE/HOUSE","AMMUNITION","77028","BURGLARY HABITATION","","12","5518 EASTLAND  ST,houston ,Texas ,77028","1/31/2008","S"
"7593","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77043","BURGLARY HABITATION","HARRINGTON & RICHARDSON","22 CAL","10215 CHATTERTON  ,houston ,Texas ,77043","3/13/2012","S"
"7594","7","DRIVEWAY","PISTOL, SEMIAUTOMATIC","77034","THEFT/LOSS $200.00 OR MORE - F","TAURUS","45 CAL","315 VICEROY  DR,houston ,Texas ,77034","3/12/2010","S"
"7595","8","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77017","BURGLARY BUILDING","TAURUS","40","8430 BAKER  DR,houston ,Texas ,77017","5/13/2012","S"
"7596","9","RESIDENCE/HOUSE","REVOLVER","77033","BURGLARY HABITATION","","","5311 BELLFORT  ST,houston ,Texas ,77033","6/21/2012","S"
"7597","10","APARTMENT PARKING LOT","GUN CLIP","77051","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","TAURUS","9","4238 BARBERRY  DR,houston ,Texas ,77051","7/25/2012","S"
"7598","1","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77077","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","SPRINGFIELD ARMORY","40 CAL","12881 WESTHEIMER  RD,houston ,Texas ,77077","7/30/2010","S"
"7599","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77035","THEFT/LOSS $200.00 OR MORE - F","TAURUS","45","12500 SANDPIPER  DR,houston ,Texas ,77035","8/19/2009","S"
"7600","3","APARTMENT","","77081","BURGLARY HABITATION","AMMUNITION (1)BOX OF .38","","5840 GLENMONT  DR,houston ,Texas ,77081","10/9/2010","S"
"7601","4","STORAGE FACILITY","RIFLE","77063","BURGLARY BUILDING","SAVAGE","22","9526 WESTHEIMER  RD,houston ,Texas ,77063","11/2/2008","S"
"7602","5","RESIDENCE/HOUSE","PISTOL, REVOLVER","77047","THEFT (FIREARM) STATE JAIL-FELONY ONLY","UNKNOWN","22 CAL","719 SCHURMIER  RD,houston ,Texas ,77047","12/20/2008","S"
"7603","6","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77008","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","WALTER PK","380 CAL","1034 20TH W ST,houston ,Texas ,77008","12/28/2011","S"
"7604","7","AUTO REPAIR","PISTOL, SEMIAUTOMATIC","77502","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","KIMBER","45 CAL","2101 SAN JACINTO  ,houston ,Texas ,77502","11/10/2011","S"
"7605","8","ROAD/STREET/SIDEWALK","","77003","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","","9999","1100 ST EMANUEL  ,houston ,Texas ,77003","4/11/2008","S"
"7606","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77087","BURGLARY HABITATION","BERETTA","22 CAL","5646 TRENDALE  ,houston ,Texas ,77087","12/17/2011","S"
"7607","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77009","BURGLARY HABITATION","SIG SAUER","40 CAL","827 BOOTH  ST,houston ,Texas ,77009","5/11/2010","S"
"7608","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77096","THEFT (FIREARM) STATE JAIL-FELONY ONLY","UNKNOWN","380 CAL","5503 ARIEL  ST,houston ,Texas ,77096","1/9/2008","S"
"7609","2","APARTMENT","PISTOL, SEMIAUTOMATIC","77091","BURGLARY HABITATION","HI POINT","380 CAL","865 LITTLE YORK W RD,houston ,Texas ,77091","2/13/2011","S"
"7610","3","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77056","BURGLARY HABITATION","REMINGTON ARMS CO INC","12 GAUGE","212 POST OAK  LN,houston ,Texas ,77056","7/14/2008","S"
"7611","4","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERETTA","9 MILL","3929 SOUTHWEST S FWY SER,houston ,Texas ,77027","9/14/2010","C"
"7612","5","APARTMENT","PISTOL, SEMIAUTOMATIC","77002","THEFT/LOSS $200.00 OR MORE - F","UNKNOWN","40 CAL","2104 BAGBY  ST,houston ,Texas ,77002","6/6/2009","S"
"7613","6","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77032","THEFT (AUTO)/(FEL STATE JAIL)","H&K","40 CAL","14810 CROSSWINDS  DR,houston ,Texas ,77032","7/5/2008","G"
"7614","7","RESTAURANT/CAFETERIA","","77024","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","REMINGTON","","10499 KATY  FWY,houston ,Texas ,77024","11/24/2010","S"
"7615","8","HOTEL/MOTEL PARKING LOT","PISTOL, SEMIAUTOMATIC","77042","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","UNKNOWN","9 MILL","9999 WESTHEIMER  RD,houston ,Texas ,77042","11/11/2011","S"
"7616","9","CONVENIENCE STORE","PISTOL","77091","BURGLARY BUILDING","THUNDER 9","","2401 LITTLE YORK W RD,houston ,Texas ,77091","7/26/2011","S"
"7617","10","STRIP BUSINESS CENTER PAR","PISTOL, REVOLVER","77036","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","RUGER","357 CAL","8200 GESSNER S DR,houston ,Texas ,77036","6/6/2010","S"
"7618","1","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77057","ROBBERY (INJURY) BY BODILY FORCE","SMITH & WESSON","22 CAL","2400 WINROCK  BLVD,houston ,Texas ,77057","9/5/2009","S"
"7619","2","RESIDENCE/HOUSE","REVOLVER","77053","BURGLARY HABITATION","UNKNOWN","38","4703 RIDGECREEK E DR,houston ,Texas ,77053","7/31/2008","S"
"7620","3","RESIDENCE/HOUSE","PISTOL, REVOLVER","77033","LOST OR STOLEN","UNKNOWN","357 CAL","5926 BELMARK  ST,houston ,Texas ,77033","2/27/2009","S"
"7621","4","RESTAURANT/CAFETERIA PARK","","77069","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","MAGAZINES","","6920 FM 1960 W ,houston ,Texas ,77069","2/9/2012","C"
"7622","5","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77079","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)(","BENELLI","12 GAUGE","303 DUNCASTER  DR,houston ,Texas ,77079","1/6/2010","S"
"7623","6","RESTAURANT SUPPLY","PISTOL, REVOLVER","77099","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","SMITH & WESSON","357 CAL","11290 BISSONNET  ST,houston ,Texas ,77099","5/8/2009","S"
"7624","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77016","THEFT/(MISD B)","HI POINT","40 CAL","10133 REBEL  RD,houston ,Texas ,77016","4/21/2011","S"
"7625","8","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77099","BURGLARY HABITATION","UNKNOWN","22 CAL","10823 RADFORD  LN,houston ,Texas ,77099","7/23/2012","C"
"7626","9","HOSPITAL PARKING LOT","PISTOL, SEMIAUTOMATIC","77030","THEFT (FIREARM) STATE JAIL-FELONY ONLY","RUGER","380","2002 HOLCOMBE  BLVD,houston ,Texas ,77030","7/17/2012","S"
"7627","10","DRIVEWAY","PISTOL, SEMIAUTOMATIC","77042","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","GLOCK","9 MILL","10606 VALLEY FORGE  ,houston ,Texas ,77042","6/4/2010","S"
"7628","1","SPECIALTY STORE (NON-SPEC","PISTOL, SEMIAUTOMATIC","77091","BURGLARY BUILDING","SPRINGFIELD FIREARMS","9 MILL","6200 SHEPHERD N DR,houston ,Texas ,77091","6/19/2012","S"
"7629","2","APARTMENT","RIFLE, CARBINE","77048","BURGLARY HABITATION","UNKNOWN","7.62","11911 MARTIN LUTHER KING  BLVD,houston ,Texas ,77048","9/25/2008","S"
"7630","3","RESIDENCE/HOUSE","PISTOL","77029","BURGLARY HABITATION","","38","1802 SILVERDALE  ,houston ,Texas ,77029","10/2/2009","S"
"7631","4","RESIDENCE/HOUSE","SHOTGUN, SEMIAUTOMATIC","77008","BURGLARY HABITATION","MOSSBERG O F, & SONS","12","1001 HEIGHTS  BLVD,houston ,Texas ,77008","9/9/2010","S"
"7632","5","APARTMENT","ALL AMERICAN RIFLE","77036","BURGLARY HABITATION","SEARS, ROEBUCK & CO","","10300 HARWIN  DR,houston ,Texas ,77036","9/3/2010","S"
"7633","6","POLICE STATION","MAGAZINE","77002","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","","","61 RIESNER  ,houston ,Texas ,77002","7/24/2009","S"
"7634","7","HOTEL/MOTEL/ETC.","AMMUNITION","77060","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","36 ROUND OF .357 CAL","357","13505 NORTH  FWY,houston ,Texas ,77060","7/27/2008","S"
"7635","8","STRIP BUSINESS CENTER PAR","PISTOL, SEMIAUTOMATIC","77066","THEFT (AUTO CAR NOT TRUCK)/(FEL STATE JAIL)","GLOCK","40 CAL","6911 FM 1960 W ,houston ,Texas ,77066","3/10/2012","S"
"7636","9","DEPARTMENT/DISCOUNT STORE","RECEIVER","77089","THEFT (FIREARM) STATE JAIL-FELONY ONLY","SOG ARMORY","*","11707 SOUTH SAM HOUSTON E PKWY,houston ,Texas ,77089","4/24/2008","S"
"7637","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77078","BURGLARY HABITATION","PHOENIX","40 CAL","9118 TALTON  ,houston ,Texas ,77078","2/2/2010","S"
"7638","1","APARTMENT","PISTOL, SEMIAUTOMATIC","77088","BURGLARY HABITATION","RUGER","9 MILL","5850 GULF BANK W RD,houston ,Texas ,77088","1/28/2010","S"
"7639","2","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77006","BURGLARY MOTOR VEHICLE (PARTS/VEHICLE)/(FEL STATE JAIL)","SPRINGFIELD FIREARMS","45 CAL","1500 CALIFORNIA  ,houston ,Texas ,77006","1/1/2008","S"
"7640","3","RESIDENCE/HOUSE","PISTOL, FULLY AUTOMATIC","77008","BURGLARY HABITATION","UNKNOWN","22 CAL","204 18TH W ST,houston ,Texas ,77008","1/6/2011","S"
"7641","4","APARTMENT","PISTOL, REVOLVER","77027","BURGLARY HABITATION","RUGER","357","3333 CUMMINS  ST,houston ,Texas ,77027","5/22/2012","S"
"7642","5","HOTEL/MOTEL PARKING LOT","PISTOL, REVOLVER","77098","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","SMITH & WESSON","38 CAL","2828 SOUTHWEST  FWY,houston ,Texas ,77098","4/28/2008","S"
"7643","6","HOTEL/MOTEL PARKING LOT","SHOTGUN,PUMP","77060","THEFT (TRUCK)/(FEL 3RD DEG)","MOSSBERG","12","255 NORTH SAM HOUSTON E PKWY,houston ,Texas ,77060","3/31/2008","S"
"7644","7","24HR FITNESS PARKING LOT","","","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","2  TASER DART CARTRIDGE","","4425 ALDINE WESTFIELD  RD,houston ,Texas ,","4/6/2010","S"
"7645","8","LIQUOR STORE PARKING LOT","PISTOL, SEMIAUTOMATIC","77006","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","SPRINGFIELD FIREARMS","9 MILL","1011 WESTHEIMER  RD,houston ,Texas ,77006","12/17/2009","S"
"7646","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77075","BURGLARY HABITATION","TITHACA/ITHACAGUN","25 CAL","9414 RADIO  RD,houston ,Texas ,77075","12/29/2009","S"
"7647","10","WAREHOUSE","PISTOL, SEMIAUTOMATIC","77075","THEFT OF A FIREARM","UNKNOWN","9 MILL","8501 MOSLEY  RD,houston ,Texas ,77075","10/24/2008","S"
"7648","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77016","BURGLARY HABITATION","UNKNOWN","380 CAL","10301 BLADES  ST,houston ,Texas ,77016","11/21/2010","S"
"7649","2","APARTMENT PARKING LOT","PISTOL, REVOLVER","77056","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","RUGER","357","2345 SAGE  RD,houston ,Texas ,77056","3/6/2012","S"
"7650","3","RESIDENCE/HOUSE","PISTOL, REVOLVER","77029","BURGLARY HABITATION","REVOLVER","UNKNOWN","8603 OTHELLO  ,houston ,Texas ,77029","3/4/2009","S"
"7651","4","BAR/NIGHT CLUB","SHOTGUN, DOUBLE BARREL","77057","THEFT (AUTO CAR NOT TRUCK)/LOSS $200.00 OR MORE - F","REMINGTON ARMS CO INC","12 GAUGE","6002 FAIRDALE  LN,houston ,Texas ,77057","1/30/2010","S"
"7652","5","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77339","LOST OR STOLEN","RUGER","40 CAL","445 MYSTIC TRAIL LOOP  ,houston ,Texas ,77339","1/28/2011","S"
"7653","6","RESTAURANT/CAFETERIA PARK","PISTOL, REVOLVER","77070","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)-VEH/(MISD A)","CHARTER ARMS CORP","38 CAL","7637 FM 1960 W ,houston ,Texas ,77070","1/3/2011","S"
"7654","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77091","LOST OR STOLEN","UNKNOWN","UNKNOWN","1306 HOMER  ,houston ,Texas ,77091","5/14/2011","S"
"7655","8","APARTMENT","PISTOL, SEMIAUTOMATIC","77060","THEFT (FIREARM) STATE JAIL-FELONY ONLY","UNKNOWN","45 CAL","2 GOODSON  DR,houston ,Texas ,77060","5/13/2012","S"
